project;peaks;docs
java-hamcrest;FS,SECURITY,REFLECTION,NATIVE;REFLECTION
javassist;CLASSLOADING,REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;CLASSLOADING,REFLECTION,DEBUG,NET,FS,SYSTEM,SECURITY
jasml;REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;REFLECTION
jackson-databind;CLASSLOADING,REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;REFLECTION,DEBUG,NET,UNSAFE,FS,SECURITY,PRINT
jackson-core;CLASSLOADING,REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;REFLECTION,DEBUG,UNSAFE,FS,PRINT,GUI
jackson-annotations;SECURITY;REFLECTION
jFin_DateMath;CLASSLOADING,REFLECTION,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;FS,REFLECTION
easymock;CLASSLOADING,REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;REFLECTION,DEBUG
displaytag;CLASSLOADING,REFLECTION,UNSAFE,FS,SECURITY,NATIVE;CLASSLOADING,REFLECTION,SOUND,NET,FS,GUI
derby;CLASSLOADING,REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;REFLECTION,DEBUG,NET,FS,SECURITY
commons-logging;CLASSLOADING,REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;CLASSLOADING,REFLECTION,DEBUG,FS,SECURITY
commons-lang;CLASSLOADING,REFLECTION,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;CLASSLOADING,REFLECTION,DEBUG,NET,FS,SYSTEM,SECURITY,PRINT
commons-io;CLASSLOADING,REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;CLASSLOADING,REFLECTION,DEBUG,NET,FS,SYSTEM,SECURITY
commons-fileupload;REFLECTION,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;SECURITY,NET,FS,REFLECTION
commons-configuration;CLASSLOADING,REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;CLASSLOADING,REFLECTION,DEBUG,NET,UNSAFE,FS,SYSTEM,GUI
commons-codec;CLASSLOADING,REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;NET,UNSAFE,FS,REFLECTION
commons-cli;CLASSLOADING,REFLECTION,UNSAFE,SECURITY,NATIVE;FS,GUI,REFLECTION,DEBUG
commons-beanutils;CLASSLOADING,REFLECTION,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;CLASSLOADING,REFLECTION,DEBUG,NET,FS,SECURITY,GUI
collections;REFLECTION,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;REFLECTION,DEBUG,NET,FS,GUI
cglib;CLASSLOADING,REFLECTION,UNSAFE,FS,SECURITY,NATIVE;SECURITY,CLASSLOADING,REFLECTION
checkstyle;CLASSLOADING,REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE,GUI;CLASSLOADING,REFLECTION,DEBUG,FS,INPUT
axion;CLASSLOADING,REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;NET,FS,REFLECTION,DEBUG
aspectj;CLASSLOADING,REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE,GUI;REFLECTION
antlr;CLASSLOADING,REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE,PRINT,GUI;REFLECTION,DEBUG,UNSAFE,FS,GUI
